                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.1455,                0.67772,                 1.1314,                0.88142,                0.83268,                0.85696,                0.51069,                 1.5908,                 1.0035,                 1.5024,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0548,                 0.6327,                 1.0271,                0.88142,                0.83268,                0.85696,                0.51069,                 1.5908,                 1.0035,                 1.5024,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.1076,                0.68853,                 1.0896,                 0.9305,                0.78175,                0.84037,                0.50418,                 1.5974,                 1.0491,                 1.5135,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0411,                0.61828,                 1.0666,                0.88931,                0.78175,                0.84372,                0.50877,                 1.5534,                0.94134,                 1.4632,             0.00036324,             0.00036324,             0.00036324
                     81,                0.99987,                0.60561,                  1.071,                0.91338,                 0.8015,                0.87336,                0.53387,                 1.5229,                0.83438,                 1.4611,             0.00034674,             0.00034674,             0.00034674
                     82,                0.98733,                 0.6549,                 1.0689,                0.91338,                 0.8015,                0.87336,                0.53387,                 1.5229,                0.83438,                 1.4611,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0107,                 0.6039,                 1.0298,                0.88198,                0.83497,                  0.882,                0.53762,                 1.5113,                0.80349,                 1.4674,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0102,                0.57406,                 1.0027,                0.87874,                0.86508,                0.87736,                0.54265,                 1.4827,                0.79572,                 1.4588,             0.00029723,             0.00029723,             0.00029723
                     85,                0.99358,                0.64734,                 1.0985,                0.90611,                0.81788,                0.87348,                 0.5428,                 1.4929,                0.80598,                 1.4628,             0.00028072,             0.00028072,             0.00028072
                     86,                0.99464,                0.59278,                 1.0407,                0.90611,                0.81788,                0.87348,                 0.5428,                 1.4929,                0.80598,                 1.4628,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.0222,                0.57577,                 1.0276,                0.87515,                 0.8373,                0.86453,                0.53567,                 1.5331,                0.85444,                 1.4871,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0055,                0.58824,                 1.0394,                0.87863,                 0.8291,                0.86937,                0.54113,                 1.5562,                  0.845,                 1.4971,             0.00023121,             0.00023121,             0.00023121
                     89,                0.95488,                0.59244,                 1.0011,                0.84894,                0.85164,                0.88423,                0.54318,                 1.5503,                0.83871,                 1.4774,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0013,                0.57735,                 1.0351,                0.84894,                0.85164,                0.88423,                0.54318,                 1.5503,                0.83871,                 1.4774,             0.00019821,             0.00019821,             0.00019821
                     91,                0.95106,                0.56763,                 1.0259,                0.85221,                 0.8373,                0.89851,                0.55082,                 1.5395,                0.82108,                  1.468,              0.0001817,              0.0001817,              0.0001817
                     92,                0.92235,                0.56769,                 1.0543,                0.90358,                 0.8373,                0.90217,                0.56094,                 1.5246,                 0.7981,                 1.4489,              0.0001652,              0.0001652,              0.0001652
                     93,                0.95931,                0.57236,                 1.1036,                0.84544,                0.90965,                0.90725,                0.56363,                 1.5211,                0.78176,                 1.4476,              0.0001487,              0.0001487,              0.0001487
                     94,                0.98508,                0.58527,                 1.0403,                0.84544,                0.90965,                0.90725,                0.56363,                 1.5211,                0.78176,                 1.4476,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.8633,                0.52619,                 1.0195,                0.95252,                0.82702,                0.90828,                0.54654,                 1.5186,                0.77048,                 1.4435,             0.00011569,             0.00011569,             0.00011569
                     96,                0.96154,                0.56304,                  1.026,                0.94901,                0.82743,                0.90101,                0.54118,                 1.5189,                 0.7572,                 1.4428,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.91505,                0.51877,                  1.005,                0.95138,                0.82828,                 0.8965,                0.53093,                 1.5233,                0.75833,                 1.4451,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.97448,                0.58065,                 1.0327,                0.95138,                0.82828,                 0.8965,                0.53093,                 1.5233,                0.75833,                 1.4451,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.91309,                0.53677,                0.99928,                0.95462,                0.83013,                0.89461,                0.53272,                 1.5226,                0.76549,                 1.4465,             4.9677e-05,             4.9677e-05,             4.9677e-05
